epoch,loss
0,0.9968522191047668
1,0.9883063435554504
2,0.9728313088417053
3,0.9538456797599792
4,0.9314771294593811
5,0.9033196568489075
6,0.8687514066696167
7,0.828598141670227
8,0.7843972444534302
9,0.7395628690719604
10,0.6982563734054565
11,0.6615502238273621
12,0.6236993074417114
13,0.5810865163803101
14,0.5366441011428833
15,0.49502474069595337
16,0.45754364132881165
17,0.4224560558795929
18,0.38757699728012085
19,0.3529595732688904
20,0.32028812170028687
21,0.29123950004577637
22,0.2649596631526947
23,0.2390453815460205
24,0.2133575826883316
25,0.19001327455043793
26,0.1701982170343399
27,0.15300025045871735
28,0.13724492490291595
29,0.12305496633052826
30,0.11113116890192032
31,0.10112948715686798
32,0.0918177142739296
33,0.08293037861585617
34,0.07519272714853287
35,0.06873609125614166
36,0.06272225081920624
37,0.05682991072535515
38,0.05154768005013466
39,0.04711715504527092
40,0.0430661141872406
41,0.03906721994280815
42,0.035449765622615814
43,0.03244427591562271
44,0.029755307361483574
45,0.02716578170657158
46,0.0248861163854599
47,0.023048123344779015
48,0.021384844556450844
49,0.01976965181529522
